,HDI Rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,Gender Inequality Index,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament
49,134,Kiribati,0.6117840256771476,66.506,12.89534671,7.86553,3041.866614,22,134,..,90,16.177,6.52173913
50,140,Ghana,0.5917381944723934,63.033,11.61575,7.062,4096.173789,3,140,0.5381280851132203,319,66.611,12.72727273
51,146,Cambodia,0.5819750406575783,69.331,11.72106311,4.844,3412.937431,3,146,0.472925551633674,161,50.177,18.47826087
52,154,Tanzania (United Republic of),0.5377147405957455,66.31,8.92369,5.78,2655.39382,6,154,0.5367825215391063,398,115.066,37.17948718
53,159,Lesotho,0.5197294300583932,54.568,10.56401,6.25,3254.907249,-4,159,0.5437883618513513,487,89.518,22.72727273
54,159,Mauritania,0.5196437207585913,63.384,8.58813,4.502,3591.761196,-13,159,0.6165675111225937,602,79.221,25.17006803
55,162,Uganda,0.5163208146992461,60.182,11.588167,6.09025,1657.976334,13,162,0.5226012503162786,343,106.502,34.29844098
56,168,Afghanistan,0.4976951140457886,64.047,10.39716,3.78,1823.52936,0,168,0.6527251933903402,396,64.462,27.44479495
57,173,Ethiopia,0.4626640918755825,65.874,8.539623052,2.68114,1719.378176,-1,173,0.5021350270680964,353,62.459,37.28571429
58,176,Congo (Democratic Republic of the),0.4574692129260281,60.031,9.75,6.75948,795.8264152,12,176,0.6519380527385298,693,124.22,8.166666667
59,184,Sierra Leone,0.418987064789857,52.214,9.848868,3.5,1239.936296,-2,184,0.6447671592611005,1360,112.828,12.39669421
