,HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Gender Inequality Index,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,1990,2000,2010,2012,2014,2015,2016,2017
50,51,Bulgaria,0.813006248671464,74.874,14.81046,11.81483,18740.11184,13,0.21737336688025832,11,39.5,23.75,0.6942229884013068,0.712220384343596,0.7789038545664725,0.7858591615614191,0.7969182880919777,0.8074641717936757,0.8095956041141686,0.813006248671464
51,52,Romania,0.8111917502126795,75.574,14.26534,10.97836,22645.53847,2,0.3105022854288165,31,33.063,18.70967742,0.7010598563419556,0.7088860953860134,0.7972633141958756,0.7952967184597031,0.8022945860194823,0.8052639324988174,0.806921214299936,0.8111917502126795
52,53,Belarus,0.8075295955276729,73.07,15.45131,12.2638,16323.46154,18,0.13027744352505166,4,17.16,33.13253012,..,0.6828210591553346,0.791529322918339,0.802600563544276,0.8066452816719559,0.8050782554004291,0.8049578008644142,0.8075295955276729
53,54,Bahamas,0.8071262958797203,75.823,12.82263,11.0799,26680.62448,-10,0.3400429670060622,80,26.748,21.81818182,..,0.7760428276528517,0.7891597180532381,0.8072467036081387,0.8065606065943829,0.8073262070597813,0.8063252384321128,0.8071262958797203
54,55,Uruguay,0.8039484331369113,77.645,15.90979,8.71883,19930.40834,5,0.27005023467241673,15,54.726,22.30769231,0.6923280887156408,0.7420851251676994,0.7726854796709125,0.7895057123814553,0.8010562783813873,0.800426370732634,0.8021411935198802,0.8039484331369113
55,56,Kuwait,0.8030660242495482,74.811,13.58732,7.27567,70523.94058,-51,0.26968048942474376,4,8.991,3.076923077,0.7125497368430351,0.7864676376666981,0.7921177172712586,0.7957573442296546,0.7986022493885393,0.8017679767292476,0.8035509413833132,0.8030660242495482
56,57,Malaysia,0.8018076952157448,75.452,13.67563,10.16824,26107.27002,-11,0.28696188900808306,40,13.414,13.10344828,0.6432214204492243,0.7249175846603798,0.7721942998937366,0.7806166789038818,0.7901890627133161,0.7947590976016541,0.7988258508917251,0.8018076952157448
57,58,Barbados,0.800268630951227,76.057,15.29256,10.5569,15842.94268,14,0.2839269707846096,27,37.259,19.60784314,0.7159005602285027,0.7519542004521717,0.7816162567631972,0.7947285655511781,0.7963576323656261,0.7973900010038725,0.798810072922084,0.800268630951227
58,58,Kazakhstan,0.800434604158046,70.027,15.14898,11.784,22626.3906,-3,0.19672712778408663,12,27.498,22.07792208,0.689644094050119,0.6847611337260778,0.7654430634893858,0.7807985885671048,0.792636289295766,0.7971585866039932,0.7967461959078902,0.800434604158046
59,60,Iran (Islamic Republic of),0.7980573432008404,76.153,14.88064,9.840175077,19130.24003,3,0.46102625758594074,25,24.991,5.882352941,0.5766182293499756,0.6704120000190505,0.7551660110181313,0.781049080205621,0.7876336977448273,0.7886214614096477,0.7955311319303151,0.7980573432008404
60,60,Palau,0.7984784375204548,73.445,15.6037963,12.32728,12830.5903,28,..,..,..,13.79310345,..,0.7431914155415739,0.7687696620278528,0.778489349423898,0.7855081597253453,0.7925041098923327,0.7975219363566179,0.7984784375204548
61,62,Seychelles,0.7965286581734321,73.746,14.78051,9.5,26076.89647,-15,..,..,56.922,21.21212121,..,0.7183048367463198,0.7468686714461645,0.7697545594475248,0.7862345654042237,0.7908243633097095,0.7931018708434019,0.7965286581734321
62,63,Costa Rica,0.7938646316833218,80.03,15.37714,8.76355,14636.38192,15,0.2995608833707779,25,53.459,35.0877193,0.6559505328657089,0.7112307921024279,0.7541723522425412,0.7722164487225326,0.7803865674521939,0.7876884369203513,0.7909195209615656,0.7938646316833218
63,64,Turkey,0.7906339807146524,76.009,15.2376,7.96206,24803.98873,-14,0.31736459552457985,16,25.848,14.571949,0.578555639751341,0.6554836697668291,0.7344646198913575,0.7602008876445812,0.7776097801099979,0.7827918940351817,0.7868511547990595,0.7906339807146524
64,65,Mauritius,0.7901201748362552,74.861,15.05727,9.32,20189.31686,-6,0.37314302774122166,53,26.567,11.5942029,0.6192079404600421,0.6733115302409125,0.7485119433076464,0.7667183892576183,0.7815701622769945,0.7822769447163332,0.7876342090264797,0.7901201748362552
65,66,Panama,0.789320299890748,78.195,12.69992,10.17,19178.20841,-4,0.4611500093488954,94,81.828,18.30985915,0.659493252923145,0.7189806111472115,0.7577990977450695,0.7705111438449179,0.7812846239263181,0.78083933631364,0.7848489537681295,0.789320299890748
66,67,Serbia,0.7866930346997278,75.333,14.64188,11.1272,13018.70813,18,0.18084722012923116,17,18.885,34.4,0.7182289704853361,0.7106239894332076,0.7587725431681621,0.7678460590411581,0.7754412262496233,0.7797029281441018,0.7854727479931904,0.7866930346997278
67,68,Albania,0.7849109734049692,78.495,14.77288,10.02511,11885.50814,23,0.2381748783599228,29,20.667,27.85714286,0.6446386567274716,0.6690156764838037,0.7407595767447374,0.7671723081275416,0.7730393831862276,0.7755963691034083,0.7817005590918955,0.7849109734049692
68,69,Trinidad and Tobago,0.7839152596010771,70.783,12.9,10.898,28622.30412,-28,0.32397011653352437,63,30.09,30.1369863,0.671752075372312,0.7157441298856058,0.775267921257401,0.7744671362853468,0.7791661379053808,0.782846825355333,0.7845785777192777,0.7839152596010771
69,70,Antigua and Barbuda,0.7795359101867395,76.519,13.24948772,9.23618,20763.64427,-12,..,..,43.513,20,..,..,0.7660593661381394,0.7645881084213714,0.7702668455863221,0.7751817390247022,0.7777269048757208,0.7795359101867395
70,70,Georgia,0.7798223285255602,73.436,15.03581,12.81457,9186.409714,35,0.34978376030167546,36,45.903,16,..,0.6731876535459926,0.7349351026352344,0.7501565790249349,0.7652820131462899,0.7713284256639411,0.7763982107222726,0.7798223285255602
71,72,Saint Kitts and Nevis,0.7778445852359723,74.372,14.38947,8.4,23977.62596,-19,..,..,..,13.33333333,..,..,0.7450554128634596,0.7556789053282991,0.7703954854078033,0.772708469582563,0.7742416409955692,0.7778445852359723
72,73,Cuba,0.7772676055271582,79.921,13.99565,11.75078,7524.4,43,0.3011284522968133,39,43.647,48.85620915,0.6757731068831214,0.6862898871358445,0.7790977943287102,0.7674144709901257,0.768351078204,0.7719982026429959,0.7741764981005748,0.7772676055271582
73,74,Mexico,0.774034620773871,77.305,14.10417,8.60085,16944.09546,-6,0.3429579181206638,38,60.264,41.40127389,0.6498132095371358,0.7021889172420641,0.7434404989534323,0.7568698837967012,0.7605326235960232,0.7665401391763845,0.7722166211317996,0.774034620773871
74,75,Grenada,0.7719484991815749,73.78,16.86987,8.67566,12863.74575,12,..,27,29.177,25,..,..,0.7428825771277774,0.7494372663945316,0.7607886647295704,0.766924299294203,0.7696765766271545,0.7719484991815749
75,76,Sri Lanka,0.7700102474771624,75.485,13.85228,10.915,11325.62717,19,0.3535469401993606,30,14.088,5.777777778,0.6246190096773554,0.685183520721716,0.7451487220049445,0.7565463546262328,0.7629254197494973,0.7662859186061189,0.7680774417416489,0.7700102474771624
76,77,Bosnia and Herzegovina,0.7684508308491914,77.087,14.218443,9.69292,11716.0207,16,0.1659461961014852,11,10.019,19.29824561,..,0.6720976443537624,0.7133469702196857,0.7393997783699977,0.7540540525363384,0.7550524740864611,0.7658795769585522,0.7684508308491914
77,78,Venezuela (Bolivarian Republic of),0.7607729900788125,74.726,14.3,10.32343,10671.54155,20,0.4543227146350789,95,85.337,22.15568862,0.6342387198570895,0.672012881705053,0.7585696682095782,0.7740274914580034,0.7776964572205272,0.7745883394311484,0.7658619059064578,0.7607729900788125
78,79,Brazil,0.7592453699836664,75.723,15.39793,7.76,13755.33693,2,0.40674940876320853,44,61.597,11.27946128,0.6107149584205486,0.6842971366262968,0.7266136072620579,0.7358596225971408,0.7522424466704885,0.7571398047311826,0.7581762474291328,0.7592453699836664
79,80,Azerbaijan,0.7569654274080131,72.123,12.65043,10.73051,15599.61753,-7,0.3175675664350043,25,53.524,16.8,..,0.6397276826073864,0.7402199946363635,0.7450637293411942,0.7581469251701825,0.7582762207423613,0.7569778767514419,0.7569654274080131
80,80,Lebanon,0.7566959816176089,79.758,12.49981,8.7,13377.72984,3,0.3806616141206409,15,11.821,3.125,..,..,0.7583290958181472,0.7513679751741603,0.7512317345094561,0.7516661915266771,0.7532814265189002,0.7566959816176089
81,80,The former Yugoslav Republic of Macedonia,0.7566871881113351,75.851,13.32826,9.63196,12504.94561,9,0.14900119762973196,8,16.202,37.5,..,0.6687480007583,0.7345622597449556,0.7398272750929648,0.7471323015907179,0.7537075522175049,0.7562342460222077,0.7566871881113351
82,83,Armenia,0.7551126831793789,74.782,12.96123,11.66751,9143.677637,24,0.2624025654039386,25,23.165,18.0952381,0.6310289143122435,0.647380351324969,0.7275648018367554,0.737300826116534,0.7452136059899203,0.7484627950297457,0.7492645868098929,0.7551126831793789
83,83,Thailand,0.7546835459149235,75.498,14.6502963,7.61131,15515.83035,-7,0.3933082951335293,20,51.851,4.8,0.5737256233785902,0.6492757340982336,0.7243423507882005,0.7309541504978934,0.7349746863798229,0.7413958769655609,0.7480499005885282,0.7546835459149235
84,85,Algeria,0.7537675347429247,76.293,14.35778,7.96657,13802.01307,-5,0.441608994449728,140,10.138,21.32231405,0.577236370855791,0.6440668513932647,0.7285071031282978,0.7404276821884238,0.7470439403083056,0.7492479974436608,0.7524951334256267,0.7537675347429247
85,86,China,0.7517039468311737,76.41,13.7792,7.848,15269.76124,-9,0.1523582661969155,27,6.408,24.24760602,0.50191544968489,0.5936425857348444,0.7061012284218313,0.7216888545023941,0.7378885749412235,0.7428210110968347,0.7479097838809821,0.7517039468311737
86,86,Ecuador,0.7518997525756316,76.551,14.65794,8.70158,10346.61944,15,0.38488104225038877,64,73.917,37.95620438,0.6428838468496736,0.6695272164412797,0.7150252390240416,0.7256962526739978,0.7415006230765443,0.7430014761623225,0.7493852156543074,0.7518997525756316
87,88,Ukraine,0.7507097375760329,72.109,14.98815,11.34,8130.399165,24,0.2847354436793048,24,23.84,12.29314421,0.7054747601654717,0.671272908928078,0.7328324263085755,0.7428704372696459,0.747788918536783,0.7434887113550483,0.7460888804361642,0.7507097375760329
88,89,Peru,0.7497728545746908,75.22,13.79727689,9.16043,11789.34824,3,0.3675886291255026,68,47.467,27.69230769,0.6110671308608289,0.677825242433467,0.7169154217465072,0.7292791453914386,0.7458702401391476,0.7450786242281776,0.7478389874409244,0.7497728545746908
89,90,Colombia,0.7470453825908805,74.562,14.41909,8.2687,12937.87977,-4,0.3834047439722219,64,47.457,19.7761194,0.59226339750694,0.6531824386689238,0.7188375837718474,0.7253868764238793,0.7384732984976824,0.7422079849755713,0.7466609659990139,0.7470453825908805
90,90,Saint Lucia,0.7470491521191215,75.696,13.62859585,8.93631,11694.77892,4,0.3332204037533012,48,40.536,20.68965517,..,0.6899031800948487,0.7305579865279265,0.7297424719394118,0.7365149885457299,0.7439783869714242,0.7450081483378872,0.7470491521191215
91,92,Fiji,0.7407879549695566,70.417,15.3,10.79,8324.309996,18,0.35173354637164556,30,43.942,16,0.6429434005964499,0.6833848954390291,0.7110783641324999,0.7192828824021494,0.7301860499536509,0.7380986298590931,0.738394855613946,0.7407879549695566
92,92,Mongolia,0.7408163154472713,69.465,15.45647,10.10858,10103.05023,11,0.30099105424368455,44,23.632,17.10526316,0.5791170806040259,0.5889830293750175,0.697042646488526,0.7198739381710665,0.7342075717480447,0.7371298571025666,0.7425751505305956,0.7408163154472713
93,94,Dominican Republic,0.7357979194223809,74.048,13.74086,7.82541,13920.99426,-15,0.4506583386687819,92,94.971,24.32432432,0.5979551794726222,0.6565995652904462,0.7024902407264302,0.709738900718941,0.7183603203980108,0.7294809430038581,0.7326077928147052,0.7357979194223809
94,95,Jordan,0.7353731396698097,74.476,13.135925,10.386,8288.462845,16,0.4596399705769848,58,22.439,15.38461538,0.6167022940391338,0.7021359842614932,0.728178591065106,0.7264543905101549,0.7298049894833792,0.7330817722137766,0.7349206701608673,0.7353731396698097
95,95,Tunisia,0.7347200973307121,75.943,15.10152,7.17226,10275.31974,7,0.29832882004274075,62,7.653,31.33640553,0.5688507296446883,0.6533526009223154,0.7156562457379582,0.719402209070876,0.7251711186495877,0.7279158603924567,0.7323536768876926,0.7347200973307121
96,97,Jamaica,0.7322409234751344,76.097,13.14003447,9.76,7845.587252,17,0.41156513395501826,89,52.757,19.04761905,0.6377554052338591,0.6617186369944018,0.7122568042406257,0.720777038604539,0.7283514072657657,0.7296452167606543,0.7315926436068267,0.7322409234751344
97,98,Tonga,0.725644707457446,73.179,14.3,11.18,5547.173004,37,0.41616478703707194,124,14.662,7.692307692,0.6479092804421338,0.6728052525508549,0.7116187658386071,0.7167427753660452,0.7172437252958653,0.7207293999138767,0.7236502962647889,0.725644707457446
98,99,Saint Vincent and the Grenadines,0.7227078992345813,73.294,13.25641,8.6,10498.69288,0,..,45,49.02,13.04347826,..,0.6734489928723423,0.7150770121762156,0.7177782786416628,0.7199306994353274,0.7203746214544196,0.7214874854174388,0.7227078992345813
99,100,Suriname,0.7196124218711658,71.523,12.7,8.507,13305.81816,-16,0.44106518681365425,155,46.034,25.49019608,..,..,0.7030670840228658,0.7111371155506592,0.7182418403855135,0.7214976863235268,0.7194555094428272,0.7196124218711658
100,101,Botswana,0.7165521285775484,67.618,12.61731,9.25333,15533.64924,-26,0.4344885664017939,129,29.982,9.523809524,0.5809934651639097,0.5647879948245503,0.6600469260373684,0.6830086862334216,0.7012297602674455,0.7060189054850947,0.712170623292188,0.7165521285775484
101,101,Maldives,0.7168643505721344,77.649,12.58675195,6.31118,13567.34387,-19,0.3431153430546422,68,5.792,5.882352941,..,0.6055964986256842,0.670635292481827,0.687666131081713,0.704528311599535,0.7095858522005161,0.7124174664008122,0.7168643505721344
102,103,Dominica,0.7150565930334234,78.032,12.7,7.8,8343.930644,6,..,..,..,25,..,0.6928710942572549,0.7217327156032037,0.7210733361828232,0.7237937685823143,0.7213003932753904,0.7183648756954577,0.7150565930334234
103,104,Samoa,0.712812176548273,75.24,12.52,10.3159,5909.373722,24,0.36507425676542427,51,23.886,10,0.6199911285279279,0.6468046954282394,0.6925546529180431,0.6973548958645107,0.7025358971294505,0.7062444432896658,0.7107872592048272,0.712812176548273
